State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,Area (in ha),TOT_P,Class,VP/MC,VP Area,VP Population,Forest Area (in Hectares),Area under Non-Agricultural Uses (in Hectares),Barren & Un-cultivable Land Area (in Hectares),Permanent Pastures and Other Grazing Land Area (in Hectares),Land Under Miscellaneous Tree Crops etc. Area (in Hectares),Culturable Waste Land Area (in Hectares),Fallows Land other than Current Fallows Area (in Hectares),Current Fallows Area (in Hectares),Net Area Sown (in Hectares),Total Unirrigated Land Area (in Hectares),Area Irrigated by Source (in Hectares),Canals Area (in Hectares),Wells/Tube Wells Area (in Hectares),Tanks/Lakes Area (in Hectares),Waterfall Area (in Hectares),Other Source (specify) Area (in Hectares)
30,585,05612,626764,0000,000000,TOWN,Pale (CT),Urban,1350,6043,V,Pale - Cotombi,1716.78,6634,,,,,,,,,,,,,,,,
30,585,05611,803243,0000,000000,TOWN,Panaji (M Corp. + OG),Urban,5370,70991,II,Taleigao,980,15306,,,,,,,,,,,,,,,,
30,585,05609,626660,0000,000000,TOWN,Parcem (CT),Urban,1044,4627,VI,Parcem,1044,4627,,,,,,,,,,,,,,,,
30,585,05610,626701,0000,000000,TOWN,Penha-de-Franca (CT),Urban,542,15342,IV,Penha-de-Franca,542,15342,,,,,,,,,,,,,,,,
30,585,05609,803241,0000,000000,TOWN,Pernem (M Cl),Urban,252,5021,V,,,,,,,,,,,,,,,,,,,
30,585,05610,626700,0000,000000,TOWN,Pilerne (CT),Urban,654,5827,V,Pilerne - Marra,980.56,7815,,,,,,,,,,,,,,,,
30,585,05614,803247,0000,000000,TOWN,Ponda (M Cl),Urban,520,22664,III,,,,,,,,,,,,,,,,,,,
30,585,05614,626868,0000,000000,TOWN,Priol (CT),Urban,1392,8164,V,Velinga-Priol-Cuncoliem,2224,11470,,,,,,,,,,,,,,,,
30,585,05614,626871,0000,000000,TOWN,Quela (CT),Urban,540,6852,V,Queula,540,6852,,,,,,,,,,,,,,,,
30,586,05617,803251,0000,000000,TOWN,Quepem (M Cl),Urban,1410,14795,IV,,,,,,,,,,,,,,,,,,,
30,586,05616,626925,0000,000000,TOWN,Raia (CT),Urban,1500,10706,IV,Raia(CT),1500,10706,,,,,,,,,,,,,,,,
30,585,05610,626699,0000,000000,TOWN,Reis Magos (CT),Urban,761,8053,V,Reis- Magos,761,8053,,,,,,,,,,,,,,,,
30,585,05610,626696,0000,000000,TOWN,Saligao (CT),Urban,586,6280,V,Saligao,586,6280,,,,,,,,,,,,,,,,
30,585,05610,626702,0000,000000,TOWN,Salvador do Mundo (CT),Urban,1159,6373,V,Salvador -do- Mundo,1159,6373,,,,,,,,,,,,,,,,
30,586,05615,626886,0000,000000,TOWN,Sancoale (CT),Urban,2348,21923,III,Sancoale(CT),2348,21923,,,,,,,,,,,,,,,,
30,586,05618,803253,0000,000000,TOWN,Sanguem (M Cl),Urban,490,6444,V,,,,,,,,,,,,,,,,,,,
30,585,05612,803245,0000,000000,TOWN,Sanquelim (M Cl),Urban,1470,13651,IV,,,,,,,,,,,,,,,,,,,
30,586,05618,627021,0000,000000,TOWN,Sanvordem (CT),Urban,510,5103,V,Sanvordem(CT),2558,7804,,,,,,,,,,,,,,,,
30,586,05616,626927,0000,000000,TOWN,Sao Jose de Areal (CT),Urban,1220,10229,IV,"Sao Jose de
Areal(CT)",1220,10229,,,,,,,,,,,,,,,,
30,585,05610,626690,0000,000000,TOWN,Siolim (CT),Urban,1222,10936,IV,Siolim- Sodiem,1222,10936,,,,,,,,,,,,,,,,
30,585,05610,626703,0000,000000,TOWN,Socorro (CT),Urban,1250,12908,IV,Socorro (serula),1250,12908,,,,,,,,,,,,,,,,
30,585,05614,626873,0000,000000,TOWN,Usgao (CT),Urban,2540,12436,IV,Usgao-Gangem,3084.05,12909,,,,,,,,,,,,,,,,
30,585,05613,803246,0000,000000,TOWN,Valpoi (M Cl),Urban,1170,8532,V,,,,,,,,,,,,,,,,,,,
30,586,05616,626932,0000,000000,TOWN,Varca (CT),Urban,820,5439,V,Varca(CT),820,5439,,,,,,,,,,,,,,,,
30,586,05616,626923,0000,000000,TOWN,Verna (CT),Urban,1500,6632,V,Verna(CT),1500,6632,,,,,,,,,,,,,,,,
30,586,05617,626969,0000,000000,TOWN,Xeldem (CT),Urban,1000,7434,V,Xeldem(CT),2200,8563,,,,,,,,,,,,,,,,
